key,de,en,fr,it,description
home.tools.job-publication.submit.success,"Besten Dank für Ihre Stellenmeldung. Ihr Inserat wird nun von einem Regionalen Arbeitsvermittlungszentrum (RAV) geprüft. Sie werden per E-Mail informiert, sobald die Stelle veröffentlicht wurde.","Thank you for posting this job ad, which will now be checked by a regional employment centre (RAV). You will be informed by email as soon as it is published.","Merci d'avoir annoncé le poste vacant que l'ORP va examiner. Vous recevrez un courriel dès sa publication.","Grazie di aver annunciato il posto vacante che sarà esaminato dall'URC. Riceverà un'e-mail non appena il posto vacante verrà pubblicato.",
home.tools.jobPublicationTab,Stelle melden,Post job,Publier un poste vacant,Pubblica un posto vacante,
job-detail.action.applyNow,Jetzt bewerben,Apply now,Postuler maintenant,Candidarsi ora,
job-detail.action.copyLink,Link kopieren,Copy link,Copier le lien,Copia link,
job-detail.action.print,Drucken,Print,Imprimer,Stampa,
job-detail.action.showExternalPage,Zum externen Stelleninserat,Link to external job posting,Vers l'offre d'emploi externe,vai all'annuncio esterno,
job-detail.application.email,Per E-Mail,By email,Par courriel,Per e-mail,
job-detail.application.mail,Per Post,By post,Par courrier,Per posta,
job-detail.application.online,Elektronisch,Electronic,En ligne,Elettronica,
job-detail.application.phone,Telefonisch,By phone,Par téléphone,Telefonicamente,
job-detail.avam.label,AVAM,AVAM,PLASTA,COLSTA,
job-detail.back,Zurück,Back,Retour,Indietro,
job-detail.contactPerson,Ihre Kontaktperson,Your contact person,Votre personne de contact,La tua persona di contatto,
job-detail.deactivated,Dieses Stelleninserat ist mittlerweile nicht mehr aktiv.,This job posting is no longer active.,Cette offre d'emploi n'est plus active.,Questo annuncio di lavoro non è più attivo.,
job-detail.endDate,Befristet bis {{date}},Until {{date}},Jusqu'au {{date}},A {{date}},
job-detail.external-job-disclaimer,"Dieses Inserat wurde auf einer externen Website gefunden. Die Arbeitslosenversicherung und öffentliche Arbeitsvermittlung stellt Ihnen dieses Suchresultat als zusätzliche Dienstleistung zur Verfügung, hat aber keinerlei Einfluss auf dessen Inhalt und Qualität.","This job posting was found on an external website. The unemployment insurance and public employment service provides this search result as an additional service. It has no influence on its content and quality.","Cette annonce a été trouvée sur un site externe. L'assurance-chômage et le service public de l'emploi fournissent ce résultat de recherche en tant que service supplémentaire, mais n'a aucune influence sur son contenu et sa qualité.","Questo annuncio è stato trovato su un sito web esterno. L'assicurazione contro la disoccupazione e il servizio pubblico per l'impiego fornisce questo risultato di ricerca come un servizio aggiuntivo, ma non ha alcun influsso sul suo contenuto né sulla sua qualità.",
job-detail.job-room-id,Stellennummer Job-Room,Job number Job-Room,Numéro de poste Job-Room,N. del posto vacante Job-Room,
job-detail.onlineSince,Vakant seit,Vacant since,Libre depuis,Vacante dal,
job-detail.reference,Referenz,Reference,Référence,Riferimento,
job-detail.reference.job-id,Stellennummer,Job ID,Numéro du poste,Numero posto,
job-detail.reference.phone,Telefon,Telephone,Téléphone,Telefono,
job-detail.reference.responsible-job-center,Zuständiges RAV,Responsible job centre,ORP compétent,URC competente,
job-detail.startDate,Ab {{date}},From {{date}},Du {{date}},Dal {{date}},
job-detail.startsImmediately.false,Nach Vereinbarung,By agreement,À convenir,Previo accordo,
job-detail.startsImmediately.label,Stellenantritt,Start date,Entrée en fonction,Entrata in funzione,
job-detail.startsImmediately.true,Ab Sofort,Immediately,Tout de suite,Da subito,
job-detail.unvalidated,Dieses Inserat wurde direkt von einem unserer Nutzer elektronisch auf die Internetplattform der öffentlichen Arbeitsvermittlung publiziert. Die Arbeitslosenversicherung und öffentliche Arbeitsvermittlung hat keinen Einfluss auf dessen Inhalt und Qualität.,This advert was published electronically by one of our users on the internet platform of the public employment service. Neither the unemployment insurance office nor the public employment service have any influence over its content or quality.,Cette offre d’emploi a été publiée en ligne sur la plateforme Internet du service public de l’emploi directement par l’un de nos utilisateurs. L’assurance-chômage et le service public de l’emploi ne sont pas responsables de son contenu et de sa qualité.,Questo annuncio è stato pubblicato sul portale del servizio pubblico di collocamento direttamente in formato elettronico da uno dei nostri utenti. L’assicurazione contro la disoccupazione e il servizio pubblico di collocamento non rispondono dei contenuti né della qualità.,
job-publication-cancel.job.change-or-repost,Sie möchten die Ausschreibung ändern oder neu erfassen,You want to change or repost the position,Sie möchten die Ausschreibung ändern oder neu erfassen,Sie möchten die Ausschreibung ändern oder neu erfassen,
job-publication-cancel.job.confirm,Abmeldung bestätigen,Confirm cancellation,Confirmer l'annulation,Confermare la cancellazione,
job-publication-cancel.job.dismiss,Abbrechen,Cancel,Annuler,Annulla,
job-publication-cancel.job.not-occupied,Sie konnten die Stelle nicht besetzen,You were unable to fill the position,Vous n'avez pas pu pourvoir le poste,Il posto non è stato assegnato,
job-publication-cancel.job.occupied.jobCenter,in Zusammenarbeit mit der regionalen Arbeitsvermittlung (RAV),in cooperation with the regional employment centre (RAV),en collaboration avec l'Office régional de placement (ORP),in collaborazione con l'Ufficio regionale di collocamento (URC),
job-publication-cancel.job.occupied.jobroom,mit einer Kandidatin/einem Kandidaten aus Job-Room,with a candidate from Job-Room,avec un/une candidat/e de Job-Room,a un candidato di Job-Room,
job-publication-cancel.job.occupied.not-jobroom,anderweitig,with a candidate not from Job-Room,par un autre moyen que Job-Room,a un'altra persona,
job-publication-cancel.job.occupied.privateAgency,in Zusammenarbeit mit der privaten Arbeitsvermittlung (pAV),in cooperation with the private employment agency (pAV),en collaboration avec un placeur privé,in collaborazione con le agenzie private di collocamento,
job-publication-cancel.job.occupied.self,Sie konnten die Stelle selber besetzen,You were able to fill the position yourself,Vous avez pourvu le poste par vos propres soins.,Il posto è stato assegnato senza interventi esterni,
job-publication-cancel.job.occupied.text,Sie konnten die Stelle besetzen,You were able to fill the position,Vous avez pourvu le poste,Il posto è stato assegnato,
job-publication-cancel.title,Stellenanzeige abmelden,Cancel job posting,Retirer l'annonce,Cancellare il posto vacante,
job-publication-details.application.online-form,Online-Formular,Online form,Formulaire en ligne,Modulo online,
jobroomApp.job.numberOfJobs,Anzahl Stellenangebote,Number of jobs,Nombre des offres d'emploi,Numero di posti,
jobroomApp.job.rav, RAV,RAV,ORP,URC,
job-search.filter.company-name.label,Arbeitgeber,Employers,Employeurs,Datori di lavoro,
job-search.filter.contract-type.label,Vertragsart,Contract type,Type de contrat,Tipologia di contratto,
job-search.filter.contract-type.option.ALL,Alle,All,Tous,Tutti,
job-search.filter.contract-type.option.PERMANENT,Unbefristet,Permanent,Indéterminé,A tempo indeterminato,
job-search.filter.contract-type.option.TEMPORARY,Befristet,Temporary,Durée limitée,A tempo determinato,
job-search.filter.online-since.day.many,Tagen,days,jours,giorni,
job-search.filter.online-since.day.one,Tag,day,jour,giorno,
job-search.filter.online-since.label,Online seit,Online since,En ligne depuis,Online dal,
job-search.filter.restricted-jobs.label,Stellen innerhalb Informationsvorsprung,Advance-notice job vacancies,Postes consultables avec un temps d'avance,Posti consultabili con anticipo (vantaggio informativo),
job-search.filter.sort.label,Sortierung,Sort,Tri,Classificazione,
job-search.filter.sort.option.DATE_ASC,Sortiere nach Datum aufsteigend,Sort by date ascending,Tri par date - ordre croissant,Ordine crescente per data,
job-search.filter.sort.option.DATE_DESC,Sortiere nach Datum absteigend,Sort by date descending,Tri par date - ordre décroissant,Ordine decrescente per data,
job-search.filter.sort.option.RELEVANCE_DESC,Sortiere nach Relevanz,Sort by relevance,Tri selon pertinence,Classifica per pertinenza,
job-search.filter.title,Suchergebnisse filtern,Filter search result,Filtrer les résultats,Filtra risultati della ricerca,
job-search.job-search-list-item.badge.permanent,Unbefristet,Permanent,Indéterminé,A tempo indeterminato,
job-search.job-search-list-item.badge.restricted,meldepflichtig,registration requirement,obligation d'annonce,obbligo di annuncio,
job-search.job-search-list-item.badge.shortEmployment,Kurzeinsatz,Short employment,Engagement de courte durée,Assunzione di corta durata,
job-search.job-search-list-item.badge.temporary,Befristet,Temporary,Durée limitée,A tempo determinato,
job-search.title,Stelle suchen,Job search,Chercher un emploi,Cerca posti,
job-search.toolbar.reset,Zurücksetzen,Reset,Rétablir,Ripristina,
navigation.next,Weiter,Next,Suivant,Seguente,
navigation.scroll-to-top,Nach oben scrollen,Scroll to top,Défiler vers le haut,Scorrere in cima,
password.title,Passwort für [<b>{{username}}</b>],Password for [<b>{{username}}</b>],Mot de passe pour [<b>{{username}}</b>],Password per [<b>{{username}}</b>],
portal.admin.api-user-management.activated,Aktiviert,Activated,Active,Attivato,
portal.admin.api-user-management.active,Aktiv,Active,Activé,Attivo,
portal.admin.api-user-management.active-date,Last access date,Last access date,Last access date,Last access date,
portal.admin.api-user-management.change-status-dialog.question,Are you sure you want to change the status of the user?,Are you sure you want to change the status of the user?,Are you sure you want to change the status of the user?,Are you sure you want to change the status of the user?,
portal.admin.api-user-management.change-status-dialog.title,Change status,Change status,Change status,Change status,
portal.admin.api-user-management.companyEmail,E-Mail Firma,Company email,Courriel de l'entreprise,E-mail dell'impresa,
portal.admin.api-user-management.companyName,Unternehmen,Business,Entreprise,Impresa,
portal.admin.api-user-management.confirm,Speichern,Save,Sauvegarder,Salva,
portal.admin.api-user-management.createDate,Erstellungsdatum,Created on,Date de création,Data di creazione,
portal.admin.api-user-management.deactivated,Deaktiviert,Deactivated,Désactivé,Disattivato,
portal.admin.api-user-management.dialog.title,API-User erstellen oder modifizieren,Create or update API user,Créer ou modifier l'utilisateur API,Crea o modifica utente API,
portal.admin.api-user-management.dismiss,Abbrechen,Cancel,Annuler,Annulla,
portal.admin.api-user-management.email,E-Mail,Email,Courriel,E-mail,
portal.admin.api-user-management.lastAccessDate,Letzter Zugriff,Last accessed on,Dernier accès,Ultimo accesso,
portal.admin.api-user-management.menu-entry,API-Benutzer verwalten,Manage API users,Gérer les utilisateurs API,Gestisci utente API,
portal.admin.api-user-management.new-user,Neuen API-Benutzer erstellen,Create new API user,Créer un nouvel utilisateur API,Crea nuovo utente API,
portal.admin.api-user-management.no-results,Keine Ergebnisse gefunden,No results found,No results found,No results found,
portal.admin.api-user-management.password.generate,Password generieren,Generate password,Générer un mot de passe,Genera password,
portal.admin.api-user-management.password.title,Passwort,Password,Mot de passe,Password,
portal.admin.api-user-management.search,Suchen,Search,Search,Search,
portal.admin.api-user-management.search-placeholder,"API-Benutzer nach Benutzername, Firma, E-Mail Firma, Technischer Kontakt oder E-Mail Technischer Kontakt suchen","Search API users by Username, Company, Company email, Technical contact or Technical contact email","Chercher un utilisateur API par Nom d'utilisateur, Entreprise, Courriel de l'entreprise, Contact technique ou Courriel contact technique","Cerca utente API per Nome utente, Impresa, E-mail dell'impresa, Contatto tecnico o E-mail contatto tecnico",
portal.admin.api-user-management.technicalContactEmail,E-Mail Technischer Kontakt,Technical contact email,Courriel contact technique,E-mail contatto tecnico,
portal.admin.api-user-management.technicalContactName,Technischer Kontakt,Technical contact,Contact technique,Contatto tecnico,
portal.admin.api-user-management.title,API-Benutzer verwalten,Manage API users,Gérer les utilisateurs API,Gestisci utente API,
portal.admin.api-user-management.update-password-dialog.title,Change password,Change password,Change password,Change password,
portal.admin.api-user-management.update-user-dialog.title,API-User modifizieren,Update API user,Modifier l'utilisateur API,Modifica utente API,
portal.admin.api-user-management.username,Benutzername,Username,Nom d'utilisateur,Nome utente,
portal.admin.audits.filter.filter-by-dates,Nach Datum filtern,Filter by date,,,
portal.admin.audits.filter.from,Von,From,De,Da,
portal.admin.audits.filter.to,Bis,To,À,A,
portal.admin.audits.table.data.remoteAddress,Remote-Adresse:,Remote Address:,Adresse Distante :,Indirizzo remoto:,
portal.admin.audits.table.header.data,Other data,Other data,Autres données,Other data,
portal.admin.audits.table.header.principal,Benutzer,User,Utilisateur,Utente,
portal.admin.audits.table.header.timestamp,Datum,Date,Date,Data,
portal.admin.audits.table.header.type,Status,Status,Statut,Stato,
portal.admin.audits.title,Audits,Audits,Audits,Cambiamenti,
portal.admin.elastic-search-reindex.dialog.cancel,Abbrechen,Cancel,Annuler,Annulla,
portal.admin.elastic-search-reindex.dialog.confirm,Reindex,Reindex,Reindex,Reindex,
portal.admin.elastic-search-reindex.dialog.question,"Sind Sie sicher, dass Sie Elasticsearch neu indizieren wollen? Das kann eine Weile dauern!","Are you sure you want to reindex Elasticsearch? This could take a while!","Êtes-vous sûr de vouloir réindexer Elasticsearch? Cela peut prendre du temps!","Vuoi davvero reindicizzare Elasticsearch? L'operazione può durare a lungo!",
portal.admin.elastic-search-reindex.dialog.title,Neuindizierung Elasticsearch bestätigen,Confirm Elasticsearch Reindex,Confirmer la réindexation Elasticsearch ,Conferma di voler reindicizzare Elasticsearch.,
portal.admin.elastic-search-reindex.document.accepted,"Request accepted, performing Elasticsearch reindexing.","Request accepted, performing Elasticsearch reindexing.",,,
portal.admin.elastic-search-reindex.document.all,Alle,All,Tous,Tutti,
portal.admin.elastic-search-reindex.document.candidates,Kandidaten,Candidates,Candidats,Candidati,
portal.admin.elastic-search-reindex.document.jobs,Stellen,Jobs,Emplois,Posti,
portal.admin.elastic-search-reindex.document.reference_data,Reference Data,Reference Data,Reference Data,Reference Data,
portal.admin.elastic-search-reindex.document.toggle-all,Alle auswählen,Select all,,,
portal.admin.elastic-search-reindex.document.users,Benutzer,Users,Utilisateurs,Utenti,
portal.admin.elastic-search-reindex.instructions.additional,Diese Operation kann einige Zeit in Anspruch nehmen,This can take a long time,,,
portal.admin.elastic-search-reindex.instructions.main,"Alle Daten aus der Datenbank nach Elasticsearch senden. Die Anfrage wird im Hintergrund ausgeführt","Send all Data from the Database to Elasticsearch. Reindexing will run in the background.",,,
portal.admin.elastic-search-reindex.notification.failure,Failure,Failure,Failure,Failure,
portal.admin.elastic-search-reindex.title,Reindex Elasticsearch,Reindex Elasticsearch,Reindex Elasticsearch,Reindex Elasticsearch,
portal.admin.legal-terms-management.header.actions,Aktionen,Actions,Actes,Azioni,
portal.admin.legal-terms-management.header.effectiveAt,Effektiv Bei,Effective At,Efficace À,Efficace A,
portal.admin.legal-terms-management.header.linkDe,DE Link,DE link,DE lien,DE link,
portal.admin.legal-terms-management.header.linkEn,EN Link,EN link,EN lien,EN link,
portal.admin.legal-terms-management.header.linkFr,FR Link,FR link,FR lien,FR link,
portal.admin.legal-terms-management.header.linkIt,IT Link,IT link,IT lien,IT link,
portal.admin.legal-terms-management.legal-terms-delete-dialog.question,Are you sure you want to delete this Legal Term?,Are you sure you want to delete this Legal Term?,Are you sure you want to delete this Legal Term?,Are you sure you want to delete this Legal Term?,
portal.admin.legal-terms-management.legal-terms-details.add,Hinzufügen,Add,Ajouter,Aggiungi,
portal.admin.legal-terms-management.legal-terms-details.title,AGB Details,GTC Details,Détails CG,Dettagli CG,
portal.admin.legal-terms-management.legal-terms-details.validate.pastEffectiveAt,Effektiv-Bei-Datum  muss in der Zukunft liegen.,Effective At date must be in the future.,La Efficace À date doit se situer dans le futur.,La Efficace A data deve situarsi nel futuro.,
portal.admin.legal-terms-management.title,AGB verwalten,Manage GTC,Gérer CG,Gestisci CG,
portal.admin.system-notifications.actions,Aktionen,Actions,Actes,Azioni,
portal.admin.system-notifications.button.active,Aktiv,Active,Activé,Attivo,
portal.admin.system-notifications.button.create,Neue Systemmitteilung erfassen,Create a new system notification,Créer un nouvel notification système,Crea un nuovo otifiche di sistema,
portal.admin.system-notifications.button.deactivated,Deaktiviert,Deactivated,Désactivé,Disattivato,
portal.admin.system-notifications.button.delete,Löschen,Delete,Supprimer,Elimina,
portal.admin.system-notifications.button.edit,Bearbeiten,Edit,Editer,Modifica,
portal.admin.system-notifications.create.modal.title,Neue Systemmitteilung erstellen,Create new System Notification,,,
portal.admin.system-notifications.delete.modal.confirm-dialog.no,Nein,No,Non,,
portal.admin.system-notifications.delete.modal.confirm-dialog.yes,Ja,Yes,Oui,Sì,
portal.admin.system-notifications.delete.modal.text,Möchten Sie die Systemmitteilung wirklich löschen?,Are you sure you want to delete this system notification?,,,
portal.admin.system-notifications.delete.modal.title,Systemmitteilung löschen,Delete System Notification,,,
portal.admin.system-notifications.edit.modal.title,Systemmitteilung editieren,Edit System Notification,,,
portal.admin.system-notifications.endDate,Bis,To,À,A,
portal.admin.system-notifications.form.active,Aktiv,Active,Activé,Attivo,
portal.admin.system-notifications.form.enddate,Enddatum,End date,Date de fin,Data finale,
portal.admin.system-notifications.form.enddateHours,Stunden,Hours,,,
portal.admin.system-notifications.form.enddateMinutes,Minuten,Minutes,,,
portal.admin.system-notifications.form.startdate,Startdatum,Start Date,,,
portal.admin.system-notifications.form.startdateHours,Stunden,Hours,,,
portal.admin.system-notifications.form.startdateMinutes,Minuten,Minutes,,,
portal.admin.system-notifications.form.text.de,Deutscher Text,German text,,,
portal.admin.system-notifications.form.text.en,Englischer Text,English Text,,,
portal.admin.system-notifications.form.text.fr,Französischer Text,French text,,,
portal.admin.system-notifications.form.text.it,Italienischer Text,Italian Text,,,
portal.admin.system-notifications.form.title,Titel,Title,,,
portal.admin.system-notifications.form.type,Typ,Type,Type,Tipo,
portal.admin.system-notifications.notifications.create.success,Die Systemmitteilung wurde erfolgreich erstellt,Successfully created SystemNotification,,,
portal.admin.system-notifications.notifications.delete.success,Die Systemmitteilung wurde erfolgreich gelöscht,Successfully deleted SystemNotification,,,
portal.admin.system-notifications.notifications.edit.success,Die Systemmitteilung wurde erfolgreich editiert,Successfully edited SystemNotification,,,
portal.admin.system-notifications.page-title,System Mitteilungen,System notifications,Notifications système,Notifiche di sistema,
portal.admin.system-notifications.startDate,Von,From,De,Da,
portal.admin.system-notifications.status,Status,Status,Statut,Stato,
portal.admin.system-notifications.title,Titel,Title,,,
portal.admin.system-notifications.type,Typ,Type,Type,Tipo,
portal.admin.user-info.accountabilities.no,Keine Verantwortlichkeiten gefunden,No company accountabilities found,No company accountabilities found,No company accountabilities found,
portal.admin.user-info.accountabilities.title,Verantwortlichkeiten,Accountabilities,Accountabilities,Accountabilities,
portal.admin.user-info.account-info.created,Erstellungsdatum,Created on,Date de création,Data di creazione,
portal.admin.user-info.account-info.lastLogin,Datum des letzten Logins,Last login at,Last login at,Last login at,
portal.admin.user-info.account-info.modified,Änderungsdatum,Modified at,Modified at,Modified at,
portal.admin.user-info.account-info.no,Keine Account-Informationen gefunden,No account info found,No account info found,No account info found,
portal.admin.user-info.account-info.title,Account Informationen,Account Info,Account Info,Account Info,
portal.admin.user-info.actions.no,Keine Aktionen oder zusätzlichen Informationen verfügbar,No actions or additional information available,No actions or additional information available,No actions or additional information available,
portal.admin.user-info.actions.title,Zusätzliche Informationen und Aktionen,Additional Info and Actions,Additional Info and Actions,Additional Info and Actions,
portal.admin.user-info.actions.unregister.desc,"Diese Aktion setzt die Registrierung des Benutzers zurück. Damit wird der Benutzer in den Zustand vor der Registrierung zurückgesetzt. Dies löscht alle Rollen, Verantwortlichkeiten und setzt den Status auf 'UNREGISTERED' zurück. Der Benutzer muss anschliessend den gesamten Registrationsprozess erneut durchführen. Dies bedeutet, dass PAV und Arbeitgeber einen Brief mit einem neuen Access Code anfordern müssen. Dies ist nötig, wenn der Benutzer beim Registrierungsprozess versehentlich die falsche Rolle ausgewählt hat. Wenn der Benutzer den Brief mit dem Access Code verloren oder nicht erhalten hat, kann der Brief im Jira gefunden werden und neu versendet werden. Falls der Benutzer in Jira nicht gefunden werden kann, hat er sich vermutlich vor dem 09.07.2018 registriert. In diesem Fall muss die Registrierung zurückgesetzt werden. Achtung: Diese Aktion kann nicht rückgängig gemacht werden.","This action resets the registration of this user. It will revert the user to the state it was before starting the registration process. The action will remove any roles, accountabilities and set the registration state to 'UNREGISTERED'. The user will have to redo the whole registration process, which includes requesting a new access code for PAV and employers. This is needed in the case when the user has chosen the wrong role by mistake. If the user has lost the letter with the access code, the user can be found in jira in order to resend the letter. If the user can't be found in jira the user has presumably registered before 09.07.2018. In this case a reset is needed. Caution: This action can not be undone.",,,
portal.admin.user-info.actions.unregister.title,Registrierung zurückstellen,Reset Registration,Reset Registration,Reset Registration,
portal.admin.user-info.actions.unregistered-user.desc,"Dieser Benutzer schein bereits einen Account in eIAM erstellt zu haben, jedoch hat er sich bisher nicht in Job-Room registriert. Aus diesem Grund ist keine Aktion für den Benutzer verfügbar. Falls der Benutzer Job-Room mit diesem Account nutzen möchte, muss er den regulären Registrationsprozess durchführen.","The found user seems to have created an eIAM account but not yet registered for job-room. Thus no action is available for this user. If the user wants to use this account for job-room he simply has to login with his eIAM account and finish the registration process in job-room.","The found user seems to have created an eIAM account but not yet registered for job-room. Thus no action is available for this user. If the user wants to use this account for job-room he simply has to login with his eIAM account and finish the registration process in job-room.","The found user seems to have created an eIAM account but not yet registered for job-room. Thus no action is available for this user. If the user wants to use this account for job-room he simply has to login with his eIAM account and finish the registration process in job-room.",
portal.admin.user-info.actions.unregistered-user.title,Unregistrierter Benutzer,Unregistered User,Unregistered User,Unregistered User,
portal.admin.user-info.alert.eIAM-role-not-found,Es konnte keine Rollen in eIAM für diesen Benutzer gefunden werden.,No roles for this user found in eIAM.,No roles for this user found in eIAM.,No roles for this user found in eIAM.,
portal.admin.user-info.alert.eIAM-role-technical,Es ist ein technisches Problem aufgetreten. Versuchen Sie es später noch einmal ansonsten wenden Sie sich an unseren Support via Kontaktformular,There is a technical problem. Please try again later or contact our support team using the contact form.,Un problème technique est survenu. Veuillez réessayer plus tard ou nous contacter à l’aide du formulaire prévu à cet effet,Si è verificato un problema tecnico. Riprovare più tardi o rivolgersi al Supporto mediante il modulo di contatto,
portal.admin.user-info.alert.unregister-success,Registrierung zurückgesetzt.,Registration reset.,Registration reset.,Registration reset.,
portal.admin.user-info.alert.unregister-technical,Es ist ein technischer Fehler beim Zurücksetzen der Registrierung aufgetreten. Versuchen Sie es später noch mal.,A technical error occurred during unregistering the user. Please try it again later.,A technical error occurred during unregistering the user. Please try it again later.,A technical error occurred during unregistering the user. Please try it again later.,
portal.admin.user-info.alert.user-info-not-found,Es konnte kein Benutzer mit dieser E-Mail-Adresse gefunden werden.,No user found with this email address.,No user found with this email address.,No user found with this email address.,
portal.admin.user-info.alert.user-info-technical,Es ist ein technischer Fehler aufgetreten,A technical error occurred,A technical error occurred,A technical error occurred,
portal.admin.user-info.confirm-dialog.no,Nein,No,Non,,
portal.admin.user-info.confirm-dialog.yes,Ja,Yes,Oui,Sì,
portal.admin.user-info.confirmMessage,Are you sure you want to unregister <br/> {{ email }} ?,Are you sure you want to unregister <br/> {{ email }} ?,Are you sure you want to unregister <br/> {{ email }} ?,Are you sure you want to unregister <br/> {{ email }} ?,
portal.admin.user-info.desc,Bitte geben Sie die E-Mail-Adresse eines bestehenden Benutzers ein.,Please enter an email address of an existing user.,Please enter an email address of an existing user.,Please enter an email address of an existing user.,
portal.admin.user-info.eIAM-roles.no,Es konnte keine Rollen in eIAM für diesen Benutzer gefunden werden,No roles for this user found in eIAM,No roles for this user found in eIAM,No roles for this user found in eIAM,
portal.admin.user-info.eIAM-roles.title,eIAM Rollen,eIAM Roles,eIAM Roles,eIAM Roles,
portal.admin.user-info.email,E-Mail,Email,Courriel,E-mail,
portal.admin.user-info.emailOrPersonalNumber,E-Mail/Personennummer,Email/Personal ID,Courriel/Numéro personnel,E-mail/Numero personale,
portal.admin.user-info.searchByEmail,Suchen,Search,Search,Search,
portal.admin.user-info.stes-info.no,Keine STES-Informationen gefunden,No STES Information found,No STES Information found,No STES Information found,
portal.admin.user-info.stes-info.pn,Personennummer,Personal ID,Numéro personnel,Numero personale,
portal.admin.user-info.stes-info.title,STES Informationen,STES Info,STES Info,STES Info,
portal.admin.user-info.stes-info.verified,Überprüft am,Verified at,Verified at,Verified at,
portal.admin.user-info.user-info.email,E-Mail,Email,Courriel,E-mail,
portal.admin.user-info.user-info.ext-id,Ext-Id,Ext-Id,Ext-Id,Ext-Id,
portal.admin.user-info.user-info.firstName,Vorname,First name,Prénom,Nome,
portal.admin.user-info.user-info.lastName,Nachname,Last name,Nom,Cognome,
portal.admin.user-info.user-info.no,Keine Benutzer-Informationen gefunden,No user information found,No user information found,No user information found,
portal.admin.user-info.user-info.title,Benutzerinformationen,User information,Information utilisateur,Informazioni utente,
portal.admin.user-info.use.search.parameter.option.email,Nach E-Mail,By Mail,,
portal.admin.user-info.use.search.parameter.option.stesnr,Nach Personennummer,By Personal ID,,
portal.admin.user-info.use.search.placeholders.email,muster@email.ch,example@email.ch,exemple@email.ch,esempio@email.ch
portal.admin.user-info.use.search.placeholders.stesnr,12345678,12345678,12345678,12345678
portal.candidate-detail.action.sendLink,Link versenden,Send link,Envoyer le lien,Invia link,
portal.candidate-detail.anonymous-contact.name-lastName,Vorname / Name,First name / Last name,Prénom / Nom,Nome / Cognome,
portal.candidate-detail.anonymous-contact.send,Absenden,,,,
portal.candidate-detail.anonymous-contact.your-message,Ihre Mitteilung,,,,
portal.candidate-detail.language-skills.label,Sprachkenntnisse,Languages,Connaissances linguistiques,Conoscenze linguistiche,
portal.candidate-detail.other-work-experience.label,Weitere Berufserfahrung,Other work experience,,,
portal.candidate-search.browser-title,Kandidaten finden,Find candidates,Trouver des candidats,Trova candidati,
portal.candidate-search.results-count.label,Kandidaten,Candidates,Candidats,Candidati,
portal.dashboard.header.welcome.text,Willkommen,Welcome,Bienvenue,Benvenuto,
portal.forms.date-input.open-calendar-button,Kalender öffnen,Open calendar,,,
portal.forms.validation.character-counter,{{count}} Zeichen verbleibend,{{count}} characters available,{{count}} caractères disponibles,{{count}} caratteri disponibili,
portal.forms.validation.maxlength,Dieses Feld darf max. {{ requiredLength }} Zeichen lang sein.,This field cannot be longer than {{ requiredLength }} characters.,Ce champ doit comporter au maximum {{ requiredLength }} caractères.,Questo campo non può essere più di {{ requiredLength }} caratteri.,
portal.forms.validation.message.houseNr,Bitte überprüfen Sie die korrekte Eingabe der Hausnummer,Please check that your house number is valid,,,
portal.forms.validation.minlength,Dieses Feld muss mind. {{ requiredLength }} Zeichen lang sein.,This field must be at least {{ requiredLength }} characters.,Ce champ doit avoir au minimum {{ requiredLength }} caractères.,Questo campo deve essere di almeno {{ requiredLength }} caratteri.,
portal.forms.validation.ngbDate.after,Datum muss nach dem {{requiredAfter.day}}.{{requiredAfter.month}}.{{requiredAfter.year}} liegen,Date must be after {{requiredAfter.day}}.{{requiredAfter.month}}.{{requiredAfter.year}},La date doit être après le {{requiredAfter.day}}.{{requiredAfter.month}}.{{requiredAfter.year}},La data deve essere successiva all'{{requiredAfter.day}}.{{requiredAfter.month}}.{{requiredAfter.year}},
portal.forms.validation.ngbDate.before,Datum muss vor dem {{requiredBefore.day}}.{{requiredBefore.month}}.{{requiredBefore.year}} liegen,Date must be before {{requiredBefore.day}}.{{requiredBefore.month}}.{{requiredBefore.year}},La date doit être antérieure au {{requiredBefore.day}}.{{requiredBefore.month}}.{{requiredBefore.year}},La data deve essere precedente all'{{requiredBefore.day}}.{{requiredBefore.month}}.{{requiredBefore.year}},
portal.forms.validation.ngbDate.format,"Datumsformat ungültig, richtiges Format: TT.MM.JJJJ","Invalid date format, correct format: DD.MM.YYYY","Le format de la date n’est pas conforme. Format correct: JJ.MM.AAAA","Il formato della data non è corretto. Formato corretto: GG.MM.AAAA",
portal.forms.validation.pattern,Dieses Feld muss das Muster {{ requiredPattern }} erfüllen.,This field must follow the pattern {{ requiredPattern }}.,Ce champ doit respecter le modèle {{ requiredPattern }}.,Questo campo dovrebbe corrispondere al modello {{ requiredPattern }}.,
portal.forms.validation.url,Diese URL ist ungültig.,This URL is not valid,Ce lien URL n'est pas valable.,Questo indirizzo URL non è valido.,
portal.global.back-to-home,Zurück zur Startseite,Return to homepage,Retour à la page d'accueil,Torna alla pagina iniziale,
portal.global.close,Schliessen,Close,Fermer,Invalida,
portal.global.exception.client.unknown,Es ist ein unerwarteter Fehler aufgetreten,An unexpected error has occurred,Une erreur inattendue s'est produite,Si è verificato un errore imprevisto,
